game,score,steps
355,20.0,1744
356,20.0,1761
357,19.0,1982
358,21.0,1713
359,18.0,1929
360,17.0,2143
361,20.0,1843
362,20.0,1719
363,20.0,1933
364,20.0,1832
365,20.0,1783
366,14.0,2272
367,10.0,2448
368,19.0,1812
369,19.0,1981
370,20.0,1979
371,15.0,2280
372,19.0,1867
373,20.0,1847
374,15.0,2477
375,8.0,3123
376,15.0,2320
377,19.0,2082
378,20.0,1832
379,20.0,1774
380,19.0,1882
381,18.0,2300
382,20.0,1850
383,20.0,1760
384,20.0,1822
385,20.0,1862
386,19.0,1982
387,19.0,1840
388,21.0,1716
389,19.0,1981
390,19.0,1894
391,18.0,2132
392,17.0,2125
393,15.0,2435
394,20.0,1850
395,18.0,1964
396,20.0,1772
397,20.0,1774
398,18.0,2039
399,18.0,2009
400,16.0,2324
401,18.0,2115
402,20.0,1870
403,19.0,1896
404,18.0,2096
405,19.0,1990
406,20.0,1882
407,19.0,1922
408,19.0,2091
409,20.0,1911
410,16.0,2452
411,21.0,1716
412,19.0,1982
413,21.0,1715
414,18.0,1891
415,18.0,1852
416,19.0,2112
417,20.0,1823
418,20.0,1840
419,19.0,1981
420,12.0,2476
421,19.0,1921
422,20.0,1805
423,20.0,1845
424,17.0,2320
425,13.0,2815
426,17.0,2252
427,10.0,3571
428,18.0,2016
429,20.0,1867
430,18.0,2062
431,19.0,1955
432,11.0,2836
433,18.0,2015
434,17.0,2264
435,20.0,1915
436,20.0,1799
437,19.0,2069
438,19.0,2241
439,16.0,2253
440,13.0,2626
441,17.0,2232
442,20.0,1686
443,20.0,1833
444,19.0,2003
445,19.0,2043
446,19.0,1945
447,17.0,2324
448,15.0,2281
449,16.0,2534
450,19.0,1970
451,20.0,1841
452,19.0,1878
453,19.0,1915
454,17.0,2001
455,18.0,2300
456,20.0,1763
457,17.0,2199
458,21.0,1775
459,19.0,1935
460,20.0,1829
461,20.0,1850
462,19.0,2054
463,19.0,2009
464,19.0,2091
465,18.0,1852
466,18.0,1958
467,20.0,1772
468,21.0,1788
469,19.0,1935
470,15.0,2350
471,14.0,2634
472,14.0,2284
473,19.0,1983
474,16.0,2317
475,21.0,1712
476,18.0,1933
477,17.0,2357
478,12.0,2503
479,17.0,2243
480,19.0,1981
481,18.0,1951
482,15.0,2617
483,14.0,2184
484,19.0,2087
485,15.0,2219
486,21.0,1716
487,19.0,2014
488,16.0,2178
489,6.0,3087
490,20.0,1773
491,19.0,1905
492,20.0,1865
493,20.0,1844
494,20.0,1845
495,20.0,1948
496,16.0,2434
497,20.0,1829
498,19.0,1880
499,14.0,2511
500,18.0,2201
501,19.0,2119
502,20.0,1912
503,20.0,1840
504,20.0,1771
505,19.0,1893
506,20.0,1967
507,19.0,2042
508,18.0,2122
509,21.0,1712
510,20.0,1772
511,17.0,1958
512,19.0,1921
513,21.0,1715
514,20.0,1773
515,20.0,1898
516,19.0,1983
517,16.0,2328
518,19.0,2060
519,19.0,1888
520,15.0,2381
521,20.0,1771
522,21.0,1771
523,21.0,1714
524,20.0,1771
525,15.0,2403
526,15.0,2015
527,16.0,2269
528,21.0,1712
529,21.0,1713
530,16.0,2240
531,20.0,1816
532,18.0,1904
533,17.0,2249
534,17.0,2267
535,20.0,1954
536,16.0,2091
537,21.0,1714
538,21.0,1732
539,21.0,1833
540,20.0,1840
541,21.0,1714
542,19.0,1921
543,20.0,1744
544,19.0,1978
545,19.0,2112
546,17.0,2324
547,19.0,1874
548,14.0,2452
549,20.0,1842
550,21.0,1655
551,18.0,1935
552,18.0,1935
553,21.0,1713
554,11.0,2530
555,19.0,1981
556,18.0,2157
557,18.0,2075
558,19.0,1914
559,19.0,1939
560,20.0,1843
561,18.0,2014
562,16.0,2142
563,21.0,1790
564,16.0,2231
565,19.0,1978
566,20.0,1844
567,20.0,1827
568,-1.0,3597
569,20.0,1847
570,19.0,2043
571,20.0,1792
572,8.0,2427
573,18.0,2050
574,16.0,2284
575,17.0,2358
576,16.0,2038
577,19.0,1996
578,20.0,1823
579,20.0,1839
580,20.0,1780
581,11.0,2723
582,7.0,3065
583,19.0,2028
584,19.0,1973
585,19.0,1946
586,20.0,1778
587,19.0,1898
588,20.0,1686
589,17.0,1964
590,20.0,1883
591,18.0,2071
592,19.0,2069
593,13.0,2784
594,18.0,2066
595,16.0,2249
596,19.0,1997
597,21.0,1711
598,7.0,3236
599,12.0,2581
600,21.0,1712
601,20.0,1842
602,19.0,1860
603,20.0,1856
604,18.0,2104
605,21.0,1710
606,18.0,2110
607,20.0,1822
608,19.0,2014
609,19.0,2003
610,19.0,1894
611,20.0,1775
612,21.0,1715
613,17.0,2318
614,19.0,1959
615,19.0,1982
616,21.0,1714
617,18.0,1950
618,18.0,2015
619,21.0,1936
620,19.0,1876
621,17.0,2006
622,20.0,1961
623,21.0,1774
624,20.0,1840
625,17.0,2286
626,20.0,1764
627,20.0,1851
628,20.0,1824
629,11.0,2645
630,20.0,1771
631,21.0,1716
632,20.0,1869
633,20.0,1913
634,20.0,1923
635,20.0,1853
636,19.0,2067
637,19.0,2014
638,19.0,1981
639,18.0,1852
640,19.0,2021
641,20.0,1840
642,20.0,1899
643,17.0,2251
644,19.0,2010
645,19.0,2013
646,12.0,2453
647,20.0,1843
648,19.0,1879
649,20.0,2024
650,19.0,2008
651,20.0,1776
652,18.0,1852
653,18.0,1852
654,16.0,2306
655,16.0,2158
656,19.0,2015
657,12.0,2740
658,20.0,1853
659,20.0,1856
660,20.0,1773
661,21.0,1711
662,19.0,1933
663,19.0,1981
664,19.0,1948
665,17.0,2353
666,17.0,2197
667,16.0,2344
668,11.0,2532
669,20.0,1840
670,19.0,2090
671,20.0,1825
672,19.0,1903
673,21.0,1713
674,11.0,2788
675,19.0,1983
676,19.0,2014
677,12.0,2612
678,19.0,1983
679,19.0,1992
680,19.0,1973
681,20.0,1834
682,19.0,2085
683,21.0,1853
684,20.0,1867
685,20.0,1823
686,18.0,2185
687,20.0,1883
688,17.0,2285
689,20.0,1835
690,20.0,1847
691,19.0,2003
692,19.0,1864
693,21.0,1777
694,21.0,1777
695,18.0,2059
696,19.0,1983
697,19.0,2168
698,19.0,1963
699,19.0,2059
700,19.0,2014
701,16.0,2292
702,20.0,1828
703,17.0,2223
704,19.0,2022
705,21.0,1713
706,20.0,1919
707,20.0,1848
708,20.0,1822
709,19.0,1938
710,20.0,1690
711,19.0,1938
712,18.0,1964
713,18.0,1945
714,17.0,1959
715,20.0,2032
716,19.0,1966
717,16.0,2293
718,19.0,2007
719,21.0,1711
720,20.0,2002
721,17.0,1965
722,20.0,1808
723,19.0,1935
724,17.0,2145
725,20.0,1848
726,21.0,1773
727,15.0,2279
728,20.0,1776
729,21.0,1710
730,12.0,2397
731,20.0,1772
732,18.0,1994
