game,score,steps
1,15.0,2072
2,20.0,1754
3,17.0,1896
4,21.0,1632
5,19.0,1810
6,20.0,1781
7,21.0,1628
8,21.0,1653
9,20.0,1694
10,20.0,1691
11,19.0,1810
12,20.0,1712
13,21.0,1630
14,20.0,1692
15,21.0,1687
16,17.0,1861
17,20.0,1694
18,21.0,1623
19,19.0,2028
20,21.0,1630
21,20.0,1778
22,20.0,1780
23,21.0,1620
24,20.0,1693
25,17.0,1920
26,19.0,1872
27,18.0,1837
28,18.0,1880
29,21.0,1684
30,21.0,1629
31,21.0,1627
32,21.0,1625
33,20.0,1960
34,21.0,1629
35,20.0,1688
36,20.0,1694
37,20.0,1683
38,21.0,1625
39,21.0,1689
40,20.0,1695
41,17.0,1907
42,18.0,1978
43,21.0,1627
44,20.0,1777
45,16.0,1898
46,20.0,1777
47,21.0,1619
48,20.0,1904
49,21.0,1704
50,20.0,1777
51,20.0,1781
52,21.0,1625
53,20.0,1668
54,20.0,1781
55,16.0,1969
56,21.0,1628
57,19.0,1923
58,21.0,1625
59,20.0,1769
60,20.0,1777
61,17.0,1872
62,17.0,2256
63,21.0,1630
64,20.0,1684
65,19.0,1845
66,17.0,1958
67,20.0,1783
68,18.0,1892
69,20.0,1697
70,20.0,1696
71,18.0,1785
72,21.0,1630
73,21.0,1624
74,18.0,1817
75,20.0,1782
76,21.0,1628
77,17.0,1939
78,19.0,1803
79,20.0,1680
80,20.0,1742
81,21.0,1628
82,21.0,1620
83,20.0,1691
84,20.0,1695
85,21.0,1624
86,21.0,1620
87,20.0,1777
88,20.0,1758
89,20.0,1809
90,20.0,1684
91,20.0,1723
92,19.0,1815
93,20.0,1754
94,17.0,1970
95,19.0,1838
96,20.0,1714
97,21.0,1632
98,20.0,1714
99,18.0,1876
100,20.0,1694
101,20.0,1781
102,19.0,1975
103,20.0,1783
104,20.0,1838
105,21.0,1620
106,21.0,1624
107,15.0,2166
108,16.0,1835
109,20.0,1691
110,17.0,2007
111,20.0,1692
112,20.0,1683
113,20.0,1780
114,20.0,1696
115,21.0,1628
116,21.0,1625
117,20.0,1694
118,20.0,1782
119,20.0,1692
120,21.0,1620
121,19.0,1763
122,20.0,1691
123,20.0,1787
124,21.0,1618
125,21.0,1630
126,20.0,1778
127,20.0,1837
128,19.0,1789
129,21.0,1625
130,20.0,1832
131,19.0,2030
132,20.0,1826
133,21.0,1630
134,20.0,1748
135,20.0,1690
136,20.0,1778
137,20.0,1709
138,21.0,1622
139,20.0,1695
140,18.0,1831
141,20.0,1737
142,20.0,1901
143,20.0,1780
144,21.0,1623
145,21.0,1626
146,21.0,1623
147,20.0,1801
148,20.0,1753
149,20.0,1694
150,21.0,1624
151,20.0,1771
152,20.0,1807
153,17.0,1908
154,17.0,2133
155,20.0,1778
156,21.0,1626
157,21.0,1620
158,21.0,1627
159,20.0,1777
160,20.0,1747
161,19.0,1804
162,19.0,1801
163,21.0,1623
164,21.0,1619
165,18.0,2055
166,17.0,1958
167,19.0,1732
168,20.0,1723
169,20.0,1688
170,18.0,1843
171,18.0,1871
172,20.0,1777
173,21.0,1624
174,21.0,1618
175,21.0,1685
176,21.0,1628
177,21.0,1619
178,21.0,1629
179,21.0,1619
180,21.0,1626
181,16.0,2152
182,20.0,1710
183,17.0,1903
184,20.0,1799
185,21.0,1627
186,20.0,1908
187,20.0,1691
188,20.0,1780
189,21.0,1629
190,21.0,1705
191,21.0,1629
192,20.0,1929
193,19.0,1814
194,21.0,1629
195,21.0,1619
196,19.0,1845
197,21.0,1621
198,20.0,1690
199,20.0,1754
200,16.0,2060
201,20.0,1744
202,21.0,1633
203,20.0,1783
204,20.0,1783
205,20.0,1747
206,19.0,1879
207,20.0,1712
208,16.0,2371
209,19.0,1818
210,20.0,1727
211,20.0,1780
212,20.0,1800
213,17.0,1949
214,20.0,1867
215,20.0,1696
216,20.0,1704
217,20.0,1666
218,20.0,1697
219,21.0,1627
220,19.0,1783
221,20.0,1735
222,18.0,2126
223,20.0,1754
224,19.0,1761
225,21.0,1627
226,6.0,2332
227,19.0,1783
228,19.0,1955
229,21.0,1618
230,20.0,1748
231,20.0,1779
232,21.0,1630
233,20.0,1842
234,20.0,1747
235,21.0,1628
236,21.0,1627
237,17.0,2009
238,19.0,1857
239,21.0,1623
240,21.0,1624
241,18.0,1904
242,20.0,1696
243,20.0,1783
244,21.0,1686
245,20.0,1806
246,20.0,1697
247,21.0,1624
248,21.0,1631
249,20.0,1767
250,20.0,1832
251,20.0,1721
252,21.0,1626
253,20.0,1783
254,20.0,1753
255,20.0,1695
256,18.0,1950
257,21.0,1623
258,20.0,1695
259,17.0,1857
260,21.0,1630
261,18.0,1953
262,21.0,1620
263,19.0,1866
264,18.0,1903
265,20.0,1776
266,21.0,1629
267,21.0,1628
268,19.0,1761
269,21.0,1620
270,18.0,1849
271,20.0,1809
272,17.0,1869
273,21.0,1624
274,19.0,1921
