game,score,steps
1,-16.0,2237
2,-15.0,1985
3,-18.0,1799
4,-15.0,2024
5,-16.0,1740
6,-11.0,2720
7,-15.0,2059
8,-11.0,2268
9,-10.0,2414
10,-17.0,2252
11,-18.0,1950
12,-16.0,2049
13,-14.0,2185
14,-12.0,2450
15,-18.0,1737
16,-18.0,1824
17,-18.0,2004
18,-18.0,1673
19,-16.0,2128
20,-14.0,2122
21,-8.0,2582
22,-12.0,2187
23,-13.0,2240
24,-16.0,2123
25,-13.0,1923
26,-17.0,1997
27,-15.0,1998
28,-13.0,2075
29,-14.0,2072
30,-16.0,2142
31,-15.0,2222
32,-12.0,2462
33,-16.0,1918
34,-8.0,2375
35,-12.0,2393
36,-13.0,2077
37,-14.0,1994
38,-13.0,2251
39,-16.0,2287
40,-14.0,2130
41,-14.0,2097
42,-14.0,2203
43,-18.0,1972
44,-16.0,2082
45,-16.0,2075
46,-19.0,1945
47,-12.0,2309
48,-12.0,2269
49,-12.0,2375
50,-16.0,2178
51,-15.0,2332
52,-15.0,2117
53,-19.0,1763
54,-20.0,1474
55,-14.0,2516
56,-16.0,1443
57,-16.0,2113
58,-18.0,2172
59,-18.0,1800
60,-18.0,1904
61,-14.0,1797
62,-17.0,1966
63,-14.0,2184
64,-18.0,1903
65,-4.0,2926
66,-19.0,1605
67,-12.0,2506
68,-14.0,2200
69,-18.0,1926
70,-13.0,1959
71,-17.0,2150
72,-14.0,2247
73,-18.0,1784
74,-14.0,2279
75,-17.0,2164
76,-13.0,2194
77,-10.0,2296
78,-17.0,2004
79,-13.0,2368
80,-14.0,1903
81,-12.0,2083
82,-18.0,1810
83,-13.0,2154
84,-14.0,2020
85,-18.0,1701
86,-19.0,1819
87,-16.0,1566
88,-13.0,2031
89,-16.0,2049
90,-14.0,2348
91,-18.0,1993
92,-17.0,2187
93,-17.0,1790
94,-15.0,1925
95,-12.0,2733
96,-14.0,2139
97,-9.0,2517
98,-10.0,2579
99,-10.0,2217
100,-13.0,2173
101,-9.0,2290
102,-17.0,2378
103,-20.0,1666
104,-10.0,2592
105,-10.0,2433
106,-14.0,2333
107,-17.0,1869
108,-10.0,2530
109,-17.0,2107
110,-18.0,1934
111,-14.0,1998
112,-15.0,2340
113,-17.0,1865
114,-12.0,2341
115,-15.0,2374
116,-11.0,2416
117,-14.0,2070
118,-14.0,1989
119,-15.0,2183
120,-9.0,2882
121,-17.0,1753
122,-13.0,2639
123,-19.0,1851
124,-14.0,2034
125,-15.0,2217
126,-14.0,2203
127,-18.0,1822
128,-10.0,2400
129,-18.0,2063
130,-18.0,1989
131,-15.0,2746
132,-11.0,2165
133,-7.0,2793
134,-18.0,1920
135,-17.0,2127
136,-17.0,1672
137,-17.0,2129
138,-18.0,2418
139,-16.0,2016
140,-13.0,2489
141,-11.0,2285
142,-9.0,2502
143,-9.0,2749
144,-17.0,1902
145,-13.0,2497
146,-19.0,1745
147,-16.0,1953
148,-15.0,1936
149,-9.0,2335
150,-10.0,2497
151,-18.0,2039
152,-14.0,2105
153,-20.0,1633
154,-16.0,2282
155,-18.0,1732
156,-15.0,2000
157,-13.0,1943
158,-18.0,1651
159,-18.0,1729
160,-17.0,2126
161,-9.0,2599
162,-18.0,1999
163,-16.0,2025
164,-16.0,2118
165,-18.0,2069
166,-15.0,1912
167,-11.0,2739
168,-12.0,2294
169,-13.0,2274
170,-12.0,1926
171,-14.0,2011
172,-16.0,1921
173,-14.0,2000
174,-18.0,1884
175,-18.0,1984
176,-15.0,2167
177,-13.0,2572
178,-11.0,2154
179,-12.0,2389
180,-13.0,2505
181,-19.0,1790
182,-10.0,2486
183,-13.0,1982
184,-13.0,2221
185,-16.0,2098
186,-15.0,3615
187,-15.0,2270
188,-13.0,2221
189,-16.0,1827
190,-14.0,2143
191,-17.0,2182
192,-16.0,1919
193,-18.0,1901
194,-14.0,2445
195,-7.0,2567
196,-11.0,2572
197,-13.0,2273
198,-18.0,1876
199,-13.0,2527
200,-18.0,2126
201,-13.0,2035
202,-18.0,2157
203,-13.0,2227
204,-16.0,2093
205,-16.0,2040
206,-15.0,1930
207,-12.0,2560
208,-14.0,2056
209,-13.0,2148
210,-18.0,2013
211,-12.0,2389
212,-9.0,2154
213,-17.0,2116
214,-18.0,1799
215,-15.0,2071
216,-9.0,2418
217,-7.0,2792
218,-17.0,2093
219,-10.0,2539
220,-18.0,1955
221,-13.0,1958
222,-20.0,1839
223,-8.0,2612
224,-13.0,2232
225,-18.0,1795
226,-12.0,2054
227,-18.0,1898
228,-18.0,1841
229,-8.0,2457
230,-18.0,1782
231,-14.0,2361
232,-10.0,2140
233,-14.0,2029
234,-18.0,1973
235,-10.0,2456
236,-18.0,1975
237,-18.0,1720
238,-14.0,2510
239,-18.0,1683
240,-13.0,2327
241,-10.0,2537
242,-16.0,2017
243,-9.0,2293
244,-18.0,1906
245,-14.0,2143
246,-14.0,2165
247,-16.0,2207
248,-12.0,2595
249,-20.0,1619
250,-16.0,2098
251,-19.0,1892
252,-18.0,1874
253,-18.0,1792
254,-17.0,1801
255,-18.0,1807
256,-18.0,1833
257,-18.0,2045
258,-8.0,2596
259,-12.0,2213
260,-18.0,1901
261,-18.0,2195
262,-18.0,1950
263,-14.0,2225
264,-18.0,1846
265,-14.0,2108
266,-16.0,2147
267,-14.0,2015
268,-14.0,2011
269,-18.0,1924
270,-18.0,1901
271,-9.0,2467
272,-15.0,2025
273,-18.0,1716
274,-15.0,2035
275,-16.0,1907
276,-18.0,2220
277,-15.0,2162
278,-18.0,2232
279,-13.0,2223
280,-14.0,1950
281,-16.0,2142
282,-15.0,2037
283,-16.0,2126
284,-18.0,1856
285,-10.0,2328
286,-12.0,2351
287,-10.0,2412
288,-14.0,2088
289,-19.0,1675
290,-18.0,1964
291,-9.0,2406
292,-18.0,1952
293,-14.0,2435
294,-18.0,1743
295,-13.0,2528
296,-9.0,2669
297,-14.0,2103
298,-14.0,2014
299,-18.0,1817
300,-17.0,2095
301,-9.0,2721
302,-17.0,2242
303,-10.0,2596
304,-14.0,2463
305,-15.0,2004
306,-13.0,2371
307,-16.0,2159
308,-11.0,2542
309,-18.0,1594
310,-13.0,2276
311,-18.0,1898
312,-13.0,2265
313,-14.0,1974
314,-17.0,1935
315,-13.0,2277
316,-19.0,1834
317,-14.0,2001
318,-14.0,2041
319,-19.0,1998
320,-13.0,2113
321,-15.0,2079
322,-11.0,2248
323,-13.0,2449
324,-15.0,2067
325,-13.0,2342
326,-18.0,1834
327,-16.0,1974
328,-18.0,2005
329,-12.0,2032
330,-14.0,2298
331,-16.0,1980
332,-9.0,2434
333,-8.0,2770
334,-18.0,1887
335,-10.0,2262
336,-18.0,1880
337,-16.0,1778
338,-18.0,2011
339,-9.0,2657
340,-16.0,1939
341,-13.0,2184
342,-20.0,1763
343,-10.0,2212
