game,player 1 score,player 2 score,steps,total score
1,195.0,135.0,651,330.0
2,210.0,265.0,741,475.0
3,265.0,210.0,1043,475.0
4,135.0,60.0,512,195.0
5,190.0,20.0,712,210.0
6,230.0,120.0,1028,350.0
7,135.0,50.0,501,185.0
8,160.0,95.0,605,255.0
9,225.0,175.0,791,400.0
10,105.0,160.0,724,265.0
11,125.0,120.0,557,245.0
12,125.0,45.0,522,170.0
13,185.0,80.0,579,265.0
14,280.0,210.0,855,490.0
15,295.0,260.0,959,555.0
16,230.0,135.0,733,365.0
17,250.0,110.0,714,360.0
18,210.0,105.0,917,315.0
19,190.0,285.0,815,475.0
20,365.0,185.0,1283,550.0
21,185.0,140.0,717,325.0
22,155.0,130.0,524,285.0
23,230.0,185.0,1232,415.0
24,285.0,135.0,847,420.0
25,180.0,50.0,559,230.0
26,170.0,215.0,769,385.0
27,215.0,90.0,743,305.0
28,100.0,55.0,476,155.0
29,75.0,50.0,396,125.0
30,195.0,150.0,713,345.0
31,245.0,70.0,580,315.0
32,285.0,255.0,897,540.0
33,165.0,95.0,732,260.0
34,180.0,125.0,782,305.0
35,185.0,85.0,647,270.0
36,55.0,75.0,403,130.0
37,45.0,50.0,407,95.0
38,160.0,170.0,672,330.0
39,170.0,15.0,789,185.0
40,180.0,95.0,628,275.0
41,240.0,255.0,959,495.0
42,270.0,155.0,677,425.0
43,275.0,290.0,1080,565.0
44,125.0,65.0,539,190.0
45,190.0,290.0,828,480.0
46,195.0,135.0,904,330.0
47,210.0,170.0,847,380.0
48,330.0,305.0,885,635.0
49,185.0,100.0,666,285.0
50,225.0,140.0,867,365.0
51,195.0,190.0,722,385.0
52,270.0,265.0,1063,535.0
53,260.0,195.0,957,455.0
54,150.0,75.0,475,225.0
55,265.0,65.0,761,330.0
56,155.0,155.0,808,310.0
57,120.0,80.0,638,200.0
58,290.0,205.0,715,495.0
59,295.0,250.0,934,545.0
60,125.0,55.0,467,180.0
61,55.0,75.0,409,130.0
62,185.0,190.0,976,375.0
63,330.0,270.0,880,600.0
64,280.0,225.0,790,505.0
65,270.0,70.0,675,340.0
66,185.0,230.0,937,415.0
67,240.0,70.0,617,310.0
68,325.0,75.0,618,400.0
69,45.0,50.0,409,95.0
70,235.0,135.0,621,370.0
71,140.0,160.0,933,300.0
72,215.0,90.0,905,305.0
73,170.0,120.0,761,290.0
74,315.0,195.0,896,510.0
75,150.0,125.0,658,275.0
76,255.0,315.0,1145,570.0
77,345.0,355.0,1337,700.0
78,65.0,25.0,448,90.0
79,180.0,115.0,871,295.0
80,365.0,120.0,959,485.0
81,285.0,235.0,971,520.0
82,165.0,155.0,652,320.0
83,295.0,305.0,1090,600.0
84,270.0,185.0,708,455.0
85,85.0,160.0,582,245.0
86,150.0,45.0,509,195.0
87,255.0,235.0,861,490.0
88,65.0,75.0,401,140.0
89,210.0,170.0,674,380.0
90,340.0,105.0,902,445.0
91,55.0,75.0,407,130.0
92,150.0,95.0,730,245.0
93,490.0,310.0,1272,800.0
94,180.0,80.0,608,260.0
95,165.0,50.0,562,215.0
96,135.0,170.0,1003,305.0
97,80.0,30.0,393,110.0
98,55.0,75.0,404,130.0
99,210.0,230.0,1010,440.0
100,190.0,195.0,780,385.0
101,330.0,100.0,778,430.0
102,210.0,115.0,887,325.0
103,155.0,45.0,659,200.0
104,190.0,100.0,796,290.0
